"_id,title,publisher,writers,price,page,image,isbn";
"64bd2b8859faae5ec995c299,Güç Elektroniği Devreleri,palme yayıncılık,Uğur Arifoğlu,""168,92"",568,https://asset.kitapsepeti.com/guc-elektronigi-devreleri-802147-41-O.jpg,9786256441088";
"64bd2b8d59faae5ec995c29a,Adem’in Laneti,koç üniversitesi yayınları,Bryan Sykes,""53,60"",246,https://asset.kitapsepeti.com/ademin-laneti-395060-28-O.jpg,9786059389495";
"64bd2b9159faae5ec995c29b,Kozmos,altın kitaplar,Carl Sagan,""96,48"",398,https://asset.kitapsepeti.com/kozmos-810855-25-O.jpg,9789752107830";
"64bd2b9459faae5ec995c29c,Arduino ile Elektronik Kodlama Uygulamaları,akademisyen kitabevi,M. Emre Sezgin,""94,30"",148,https://asset.kitapsepeti.com/arduino-ile-elektronik-kodlama-uygulamalari-804395-41-O.jpg,9786256965546";
"64bd2b9859faae5ec995c29d,Dünyayı Değiştiren On Domates,timaş yayınları,William Alexander,""77,05"",304,https://asset.kitapsepeti.com/dunyayi-degistiren-on-domates-802850-41-O.jpg,9786050846980";
"64bd2b9b59faae5ec995c29e,Sınırsız Zihin,koç üniversitesi yayınları,Jo Boaler,""50,25"",208,https://asset.kitapsepeti.com/sinirsiz-zihin-386089-748347-38-O.jpg,9786057685445";
"64bd2b9f59faae5ec995c29f,Fonksiyonlar,apotemi yayınları,Barış Şahbaz,""75,65"",208,https://asset.kitapsepeti.com/fonksiyonlar-375855-33-O.jpg,9786057551733";
"64bd2ba259faae5ec995c2a0,Mikrobun Keşfi,fol kitap,John Waller,""56,88"",176,https://asset.kitapsepeti.com/mikrobun-kesfi-446891-30-O.jpg,9786258411744";
"64bd2ba559faae5ec995c2a1,Yaşayan Matematik,doruk yayınları,Theoni Pappas,""93,80"",210,https://asset.kitapsepeti.com/yasayan-matematik-415913-28-O.jpg,9789755534008";
"64bd2ba859faae5ec995c2a2,Ustaca Yaşam,akıl çelen kitaplar,Ali Demirsoy,""105,00"",480,https://asset.kitapsepeti.com/ustaca-yasam-244259-367869-24-O.jpg,9786257586177";
"64bd2bab59faae5ec995c2a3,Profesör Stewart’ın Matematik Hazineleri,alfa yayınları,Ian Stewart,""96,85"",368,https://asset.kitapsepeti.com/profesor-stewartin-matematik-hazineleri-353636-24-O.jpg,9786254495489";
"64bd2bae59faae5ec995c2a4,Böcek Harikalar Diyarı,cezve çocuk,Sinem Dildade,""59,40"",160,https://asset.kitapsepeti.com/bocek-harikalar-diyari-204673-23-O.jpg,9786258480153";
"64bd2bb159faae5ec995c2a5,Zeka Tuzağı,domingo yayınevi,David Robson,""75,04"",384,https://asset.kitapsepeti.com/zeka-tuzagi-199737-23-O.jpg,9786051982113";
"64bd2bb459faae5ec995c2a6,Su Ürünleri ve Hayvancılık AYBAK 2021 Mart,akademisyen kitabevi,Banu Yücel,""123,00"",155,https://asset.kitapsepeti.com/su-urunleri-ve-hayvancilik-aybak-2021-mart-188012-22-O.jpg,9786257401142";
"64bd2bb759faae5ec995c2a7,İlk Üç Dakika,sia kitap,Steven Weinberg,""41,80"",216,https://asset.kitapsepeti.com/ilk-uc-dakika-368945-22-O.jpg,9786257266635";
"64bd2bba59faae5ec995c2a8,Kör Saatçi,kuzey yayınları,Richard Dawkins,""90,45"",464,https://asset.kitapsepeti.com/kor-saatci-280812-22-O.jpg,9786059909501";
"64bd2bbd59faae5ec995c2a9,Dinozorlar,teleskop popüler bilim,Kolektif,""12,50"",8,https://asset.kitapsepeti.com/dinozorlar-204910-203329-20-O.jpg,9789752421585";
"64bd2bc059faae5ec995c2aa,Profesör Stewart’ın İnanılmaz Sayıları,alfa yayınları,Ian Stewart,""87,75"",368,https://asset.kitapsepeti.com/profesor-stewartin-inanilmaz-sayilari-183571-54-O.jpg,9786254493119";
"64bd2bc359faae5ec995c2ab,Profesör Stewart`ın Matematiksel Tuhaflıklar Dolabı,alfa yayınları,Ian Stewart,""81,25"",320,https://asset.kitapsepeti.com/profesor-stewartin-matematiksel-tuhafliklar-dolabi-251990-50-O.jpg,9786050380835";
"64bd2bc659faae5ec995c2ac,Bir Nefeste Matematik,maya kitap,Chris Waring,""52,26"",192,https://asset.kitapsepeti.com/bir-nefeste-matematik-237554-29-O.jpg,9786057605160";
"64bd2bc959faae5ec995c2ad,Incognito - Beynin Gizli Hayatı,domingo yayınevi,David Eagleman,""83,75"",294,https://asset.kitapsepeti.com/incognito-beynin-gizli-hayati-204462-25-O.jpg,9786054729074";
"64bd2bcc59faae5ec995c2ae,Bilimsel Araştırma Teknikleri ve Etik,pegem akademi yayıncılık,Necati Cemaloğlu,""118,08"",376,https://asset.kitapsepeti.com/bilimsel-arastirma-teknikleri-ve-etik-265720-95-O.jpg,9786257052405";
"64bd2bcf59faae5ec995c2af,Dakikalar İçinde Büyük Fikirler - Dünyayı Değiştiren 200 Temel Anlayış,kronik kitap,Ian Crofton,""37,20"",416,https://asset.kitapsepeti.com/dakikalar-icinde-buyuk-fikirler-dunyayi-degistiren-200-temel-anlayis-445624-29-O.jpg,9786258431551";
"64bd2bd159faae5ec995c2b0,Bilgiyle Sohbet,i̇ş bankası kültür yayınları,Ali Mehmet Celal Şengör,""113,90"",792,https://asset.kitapsepeti.com/bilgiyle-sohbet-170954-16-O.png,9786053609728";
"64bd2bd459faae5ec995c2b1,Gelecek 100 Yıl,pegasus yayınları,George Friedman,""97,50"",320,https://asset.kitapsepeti.com/gelecek-100-yil-375014-33-O.jpg,9786055943660";
"64bd2bd759faae5ec995c2b2,Para - Antik Çağdan Geleceğe,timaş yayınları,Dursun Ali Yaz,""108,50"",352,https://asset.kitapsepeti.com/para-antik-cagdan-gelecege-261356-27-O.jpg,9786050832044";
"64bd2bda59faae5ec995c2b3,Bilimin Ucunda,alfa yayınları,Ömer Kamacı,""51,35"",216,https://asset.kitapsepeti.com/bilimin-ucunda-807866-41-O.jpg,9786254497896";
"64bd2bdd59faae5ec995c2b4,Kenz-ul Ervah,şira yayınları,Işık Kızıltuğ,""107,20"",224,https://asset.kitapsepeti.com/kenz-ul-ervah-781413-41-O.jpg,9786057977441";
"64bd2be059faae5ec995c2b5,Zamanın Kısa Tarihi,alfa yayınları,Stephen W. Hawking,""74,75"",255,https://asset.kitapsepeti.com/zamanin-kisa-tarihi-128044-571642-12-O.jpg,9786051067582";
"64bd2be459faae5ec995c2b6,Dakikalar İçinde Antik Dünya,kronik kitap,Charles Phillips,""37,20"",416,https://asset.kitapsepeti.com/dakikalar-icinde-antik-dunya-352820-24-O.jpg,9786258431360";
"64bd2be759faae5ec995c2b7,Acelesi Olanlar İçin Astrofizik,nova kitap,Neil DeGrasse Tyson,""42,25"",168,https://asset.kitapsepeti.com/acelesi-olanlar-icin-astrofizik-802001-41-O.jpg,9786258489736";
"64bd2bea59faae5ec995c2b8,Çıplak İstatistik,buzdağı yayınevi,Charles Wheelan,""164,15"",400,https://asset.kitapsepeti.com/ciplak-istatistik-288743-24-O.jpg,9786058213258";
"64bd2bed59faae5ec995c2b9,Ezbere Yaşayanlar,kronik kitap,Emrah Safa Gürkan,""49,60"",400,https://asset.kitapsepeti.com/ezbere-yasayanlar-191386-23-O.jpg,9786258431131";
"64bd2bf059faae5ec995c2ba,Neufert - Yapı Tasarımı,beta yayınevi,Ernst Neufert,""450,18"",608,https://asset.kitapsepeti.com/neufert-yapi-tasarimi-193210-12-O.jpg,9786052427163";
"64bd2bf359faae5ec995c2bb,Karanlık Bir Dünyada Bilimin Mum Işığı,say yayınları,Carl Sagan,""150,00"",672,https://asset.kitapsepeti.com/karanlik-bir-dunyada-bilimin-mum-isigi-217834-56-O.jpg,9786050207743";
"64bd2bf659faae5ec995c2bc,Yeni Dünyanın Cesur İnsanı,tuti kitap,Sinan Canan,""90,45"",176,https://asset.kitapsepeti.com/yeni-dunyanin-cesur-insani-184934-22-O.jpg,9786059218955";
"64bd2bf959faae5ec995c2bd,Bilimin Büyüsü,i̇nkılap kitabevi,A. M. Celal Şengör,""37,52"",160,https://asset.kitapsepeti.com/bilimin-buyusu-294760-14-O.jpg,9789751039422";
"64bd2bfc59faae5ec995c2be,Beyin,domingo yayınevi,David Eagleman,""79,06"",272,https://asset.kitapsepeti.com/beyin-108264-171658-10-O.jpg,9786054729692";
"64bd2bff59faae5ec995c2bf,Değişen Beynim,tuti kitap,Sinan Canan,""107,20"",346,https://asset.kitapsepeti.com/degisen-beynim-241747-10-O.jpg,9786059218085";
