_id,title,publisher,writers,price,page,image,isbn
64bd7d65429d7849d7d36079,"Tüfek, Mikrop ve Çelik (Karton Kapak)",PEGASUS YAYINLARI,Jared Diamond,"90,10",664,https://img.kitapyurdu.com/v1/getImage/fn:7027950/wh:true/wi:800,9786052994573
64bd7d68429d7849d7d3607a,Hayvanlardan Tanrılara Sapiens\nİnsan Türünün Kısa Bir Tarihi,KOLEKTİF KİTAP,Yuval Noah Harari,"115,50",412,https://img.kitapyurdu.com/v1/getImage/fn:1459987/wh:true/wi:800,9786055029357
64bd7d6b429d7849d7d3607b,Doğadaki Son Çocuk (Karton Kapak),TÜBİTAK YAYINLARI,Richard Louv,"16,50",447,https://img.kitapyurdu.com/v1/getImage/fn:11260951/wh:true/wi:800,9789754035124
64bd7d6d429d7849d7d3607c,Kozmos Evrenin ve Yaşamın Sırları,ALTIN KİTAPLAR,Carl Sagan,"76,90",384,https://img.kitapyurdu.com/v1/getImage/fn:8635168/wh:true/wi:800,9789752107830
64bd7d70429d7849d7d3607d,Ezbere Yaşayanlar\nVazgeçemediğimiz Alışkanlıklarımızın Kökenleri,KRONİK KİTAP,Emrah Safa Gürkan,"48,00",400,https://img.kitapyurdu.com/v1/getImage/fn:11505303/wh:true/wi:800,9786258431131
64bd7d73429d7849d7d3607e,Incognito\nBeynin Gizli Hayatı,DOMİNGO YAYINEVİ,David Eagleman,"82,60",304,https://img.kitapyurdu.com/v1/getImage/fn:8742215/wh:true/wi:800,9786054729074
64bd7d76429d7849d7d3607f,Kadın Beyni Erkek Beyni,ELMA YAYINEVİ,Serkan Karaismailoğlu,"63,01",224,https://img.kitapyurdu.com/v1/getImage/fn:1020919/wh:true/wi:800,9786055286781
64bd7d79429d7849d7d36080,Dolaşım Sisteminde Yolculuk,TÜBİTAK YAYINLARI,Mary K. Corcoran,"9,00",41,https://img.kitapyurdu.com/v1/getImage/fn:1168962/wh:true/wi:800,9786053120254
64bd7d7c429d7849d7d36081,İFA: İnsanın Fabrika Ayarları 1.Kitap / Beden,TUTİ KİTAP,Sinan Canan,"86,85",184,https://img.kitapyurdu.com/v1/getImage/fn:9963055/wh:true/wi:800,9786059218603
64bd7d7f429d7849d7d36082,Duygusal Zeka,VARLIK YAYINLARI,Daniel Goleman,"108,75",440,https://img.kitapyurdu.com/v1/getImage/fn:280129/wh:true/wi:800,9789754341966
64bd7d82429d7849d7d36083,"Sınırsız Zihin: Sınırları Aşarak Öğren, Yönet Ve Yaşa",KOÇ ÜNİVERSİTESİ YAYINLARI,Jo Boaler,"56,32",208,https://img.kitapyurdu.com/v1/getImage/fn:11654590/wh:true/wi:800,9786057685445
64bd7d85429d7849d7d36084,İFA - İnsanın Fabrika Ayarları (Genişletilmiş Yeni Baskı),TUTİ KİTAP,Sinan Canan,"187,10",552,https://img.kitapyurdu.com/v1/getImage/fn:11611452/wh:true/wi:800,9786057365460
64bd7d88429d7849d7d36085,İFA: İnsanın Fabrika Ayarları 2. Kitap / İlişkiler ve Stres,TUTİ KİTAP,Sinan Canan,"87,75",192,https://img.kitapyurdu.com/v1/getImage/fn:10831371/wh:true/wi:800,9786059218627
64bd7d8b429d7849d7d36086,Şekilli Kimya Sözlüğü,TÜBİTAK YAYINLARI,"Chris Oxlade, Corinne Stockley, Jane Wertheim","9,00",126,https://img.kitapyurdu.com/v1/getImage/fn:38885/wh:true/wi:800,9789754035643
64bd7d8e429d7849d7d36087,Beyin\nSenin Hikayen,DOMİNGO YAYINEVİ,David Eagleman,"77,88",272,https://img.kitapyurdu.com/v1/getImage/fn:11463746/wh:true/wi:800,9786054729692
64bd7d91429d7849d7d36088,Sihirli Bilim - Etkileyici Kimya Deneyleri,TÜBİTAK YAYINLARI,"Paula Navarro, Angels Jimenez","8,25",35,https://img.kitapyurdu.com/v1/getImage/fn:1177779/wh:true/wi:800,9786053120339
64bd7d94429d7849d7d36089,Dakikalar İçinde Büyük Fikirler,KRONİK KİTAP,Ian Crofton,"36,00",416,https://img.kitapyurdu.com/v1/getImage/fn:11571938/wh:true/wi:800,9786258431551
64bd7d97429d7849d7d3608a,Zamanın Kısa Tarihi,ALFA YAYINLARI,Stephen Hawking,"82,80",255,https://img.kitapyurdu.com/v1/getImage/fn:11629687/wh:true/wi:800,9786051067582
64bd7d9a429d7849d7d3608b,Çizgi Bilim - Aziz Sancar,TÜBİTAK YAYINLARI,Kolektif,"11,05",48,https://img.kitapyurdu.com/v1/getImage/fn:11443556/wh:true/wi:800,9786053124054
64bd7d9d429d7849d7d3608c,Sihirli Bilim - İnanılmaz Işık ve Renk Deneyleri,TÜBİTAK YAYINLARI,"Paula Navarro, Angels Jimenez","8,25",35,https://img.kitapyurdu.com/v1/getImage/fn:1177677/wh:true/wi:800,9786053120346
64bd7da0429d7849d7d3608d,Deneyerek Botanik,TÜBİTAK YAYINLARI,"Sonja Duletic Lausevic, Dusica Janosevic","7,50",32,https://img.kitapyurdu.com/v1/getImage/fn:10227309/wh:true/wi:800,9786053120216
64bd7da3429d7849d7d3608e,101 Basamaklı Sayılara Kadar Sayabilir misiniz?,TÜBİTAK YAYINLARI,Robert E. Wells,"7,50",36,https://img.kitapyurdu.com/v1/getImage/fn:1159933/wh:true/wi:800,9786053120476
64bd7da6429d7849d7d3608f,Anadolu Doğasından Yansımalar (Ciltli),TÜBİTAK YAYINLARI,Bülent Gözcelioğlu,"27,00",407,https://img.kitapyurdu.com/v1/getImage/fn:2758209/wh:true/wi:800,9789754039726
64bd7daa429d7849d7d36090,Antrenmanlarla Matematik 1,ANTRENMAN YAYINLARI,"Halil İbrahim Küçükkaya, Mehmet Girgiç, Ahmet Karakoç","173,40",352,https://img.kitapyurdu.com/v1/getImage/fn:1919613/wh:true/wi:800,9786058821002
64bd7dad429d7849d7d36091,Yaşamın Sırrı DNA (Ciltsiz),TÜBİTAK YAYINLARI,Bahri Karaçay,"14,25",360,https://img.kitapyurdu.com/v1/getImage/fn:292625/wh:true/wi:800,9789754035384
64bd7db0429d7849d7d36092,Gemiler / İlk Okuma,TÜBİTAK YAYINLARI,Emily Bone,"11,25",30,https://img.kitapyurdu.com/v1/getImage/fn:39395/wh:true/wi:800,9789754035599
64bd7db3429d7849d7d36093,Dura Mater,ELMA YAYINEVİ,Serkan Karaismailoğlu,"119,65",560,https://img.kitapyurdu.com/v1/getImage/fn:11447393/wh:true/wi:800,9786257112376
64bd7db6429d7849d7d36094,Beynine Bir Kez Hava Değmeye Görsün (Ciltsiz),TÜBİTAK YAYINLARI,Dr. Frank Vertosick Jr.,"41,25",272,https://img.kitapyurdu.com/v1/getImage/fn:11578992/wh:true/wi:800,9789754033045
64bd7db9429d7849d7d36095,Kıtlık / Çok Aza Sahip Olmanın Başka Anlamları,TÜBİTAK YAYINLARI,"Sendhil Mullainathan, Eldar Shafir","15,00",293,https://img.kitapyurdu.com/v1/getImage/fn:10499582/wh:true/wi:800,9786053123040
64bd7dbc429d7849d7d36096,Sihirli Bilim - Şaşırtıcı Ses Deneyleri,TÜBİTAK YAYINLARI,"Paula Navarro, Angels Jimenez","8,25",35,https://img.kitapyurdu.com/v1/getImage/fn:1177781/wh:true/wi:800,9786053120360
64bd7dbf429d7849d7d36097,Dolunayın Özgür Kadınları\nRuh-Zihin-Beden Bütünlüğünde Ay Işığından Kadına 28 Günlük Bir Yolculuk,TİMAŞ YAYINLARI,Dr. Ayşe Duman,"66,50",160,https://img.kitapyurdu.com/v1/getImage/fn:11517311/wh:true/wi:800,9786050844092
64bd7dc2429d7849d7d36098,Dinozorlar Ne Kadar Büyüktü?,TÜBİTAK YAYINLARI,Anna Milbourne,"36,60",24,https://img.kitapyurdu.com/v1/getImage/fn:6728103/wh:true/wi:800,9786053121633
64bd7dc6429d7849d7d36099,Sorgulanan Uzay ve Zaman,TÜBİTAK YAYINLARI,"Prof. Dr. Metin Arık, Mustafa Sancak","11,25",240,https://img.kitapyurdu.com/v1/getImage/fn:10998114/wh:true/wi:800,9786053123798
64bd7dc9429d7849d7d3609a,"Tanrı, İnsan, Hayvan, Makine",ALTIN KİTAPLAR,Meghan O’gıeblyn,"55,13",288,https://img.kitapyurdu.com/v1/getImage/fn:11688085/wh:true/wi:800,9789752128033
64bd7dcc429d7849d7d3609b,Yeterince Tembel Misin?\nAylaklar İçin Matematik,CEZVE KİTAP,Tuğba Coşkuner,"62,04",224,https://img.kitapyurdu.com/v1/getImage/fn:11337403/wh:true/wi:800,9786052297117
64bd7dcf429d7849d7d3609c,Dakikalar İçinde Din\nDünyanın Köklü İnançlarına Dair 200 Temel Kavram,KRONİK KİTAP,Marcus Weeks,"36,00",416,https://img.kitapyurdu.com/v1/getImage/fn:11560001/wh:true/wi:800,9786258431391
64bd7dd2429d7849d7d3609d,Dakikalar İçinde Sanat / Anında Açıklanan 200 Temel Kavram,KRONİK KİTAP,Susie Hodge,"36,00",416,https://img.kitapyurdu.com/v1/getImage/fn:11618430/wh:true/wi:800,9786258431483
